0,0.399711,0,0.00452249,0
0.01,0.158982,0.001,0.00551835,-0.000787767
0.02,0.101339,0.002,0.00308433,0.000224232
0.03,0.073322,0.003,0.00521587,0.000934669
0.04,0.056089,0.004,0.00518556,0.000630383
0.05,0.0443305,0.005,0.00534902,0.000833722
0.06,0.0355049,0.006,0.00484969,0.00100695
0.07,0.0290048,0.007,0.00533373,0.000921219
0.08,0.0239394,0.008,0.00507855,0.0013617
0.09,0.0195023,0.009,0.00526564,0.00145277
0.1,0.0160323,0.01,0.00536828,0.0012886
0.11,0.0131542,0.011,0.00555075,0.00145328
0.12,0.0106366,0.012,0.00553737,0.00153297
0.13,0.00826253,0.013,0.00532507,0.00184731
0.14,0.0066447,0.014,0.00576378,0.00179826
0.15,0.00481435,0.015,0.00569398,0.00202047
0.16,0.00359369,0.016,0.00594206,0.00187105
0.17,0.00243341,0.017,0.00601441,0.00188943
0.18,0.00120197,0.018,0.00602433,0.00213669
0.19,0.000259489,0.019,0.00630963,0.00211783
0.2,-0.000503792,0.02,0.00615299,0.00219932
0.21,-0.00141956,0.021,0.00637833,0.00193493
0.22,-0.00233868,0.022,0.00634029,0.00215765
0.23,-0.00263018,0.023,0.00639482,0.00240452
0.24,-0.00296168,0.024,0.00673456,0.00229356
0.25,-0.003619,0.025,0.00669095,0.00228607
0.26,-0.00386031,0.026,0.00686937,0.00221984
0.27,-0.00428009,0.027,0.00682786,0.00230498
0.28,-0.00460796,0.028,0.00692065,0.00232526
0.29,-0.0049739,0.029,0.00707152,0.00233244
0.3,-0.004948,0.03,0.00711952,0.00228104
0.31,-0.00535133,0.031,0.00711285,0.00242209
0.32,-0.00511137,0.032,0.00724558,0.00226275
0.33,-0.00502887,0.033,0.00745233,0.00226084
0.34,-0.00509239,0.034,0.00733655,0.00240587
0.35,-0.00512428,0.035,0.00737167,0.00240664
0.36,-0.00504812,0.036,0.00759197,0.00251366
0.37,-0.00454547,0.037,0.00770555,0.00244247
0.38,-0.00481711,0.038,0.00771715,0.00234611
0.39,-0.00442186,0.039,0.00773764,0.00228147
0.4,-0.00426613,0.04,0.00782867,0.00220346
0.41,-0.00389106,0.041,0.00785814,0.00237957
0.42,-0.00369716,0.042,0.00801798,0.00221642
0.43,-0.00336322,0.043,0.00804264,0.00212136
0.44,-0.00322322,0.044,0.0079036,0.00218766
0.45,-0.00309544,0.045,0.00797078,0.00227891
0.46,-0.00292495,0.046,0.00805749,0.00228569
0.47,-0.00271216,0.047,0.00822732,0.00213864
0.48,-0.00214426,0.048,0.00828302,0.00224145
0.49,-0.00184472,0.049,0.00823065,0.00199893
0.5,-0.00157207,0.05,0.00823687,0.00207307
0.51,-0.00136324,0.051,0.00824941,0.00207219
0.52,-0.00105828,0.052,0.00837333,0.00207155
0.53,-0.00104352,0.053,0.0083536,0.00205494
0.54,-0.000777178,0.054,0.00846334,0.00208633
0.55,-0.000485798,0.055,0.0085516,0.00208553
0.56,-0.000462918,0.056,0.00836622,0.00182453
0.57,-0.000267517,0.057,0.00848338,0.00200021
0.58,-1.47793e-05,0.058,0.00845237,0.0019241
0.59,5.8983e-05,0.059,0.00864249,0.00203792
0.6,7.10878e-05,0.06,0.00863403,0.00179995
0.61,0.000278277,0.061,0.00867617,0.00185044
0.62,0.000286544,0.062,0.0086144,0.00190109
0.63,0.000341077,0.063,0.00868889,0.00182795
0.64,0.000381221,0.064,0.00871971,0.00188329
0.65,0.000455019,0.065,0.00875948,0.00177359
0.66,0.000374038,0.066,0.00881213,0.0016993
0.67,0.000342142,0.067,0.00888625,0.00171454
0.68,0.000520371,0.068,0.00877269,0.00169178
0.69,0.000467769,0.069,0.00877923,0.00173759
0.7,0.000352148,0.07,0.00882739,0.00168159
0.71,0.000317204,0.071,0.00886274,0.00177004
0.72,0.000289115,0.072,0.00883153,0.00164747
0.73,0.000452571,0.073,0.00889654,0.00167319
0.74,0.00022364,0.074,0.0088444,0.00161559
0.75,9.409e-05,0.075,0.00883434,0.00157845
0.76,0.0001906,0.076,0.00888393,0.00151995
0.77,6.45157e-05,0.077,0.00882567,0.00165613
0.78,-2.52336e-05,0.078,0.00888024,0.00173134
0.79,-8.0409e-05,0.079,0.00900596,0.00153083
0.8,1.10608e-05,0.08,0.00902871,0.00151267
0.81,-0.000275704,0.081,0.0089888,0.00152239
0.82,-0.000441215,0.082,0.00899131,0.00144533
